| end of epoch 344 | time:  8.23s | valid loss 10.41 | valid ppl 33056.58
| end of epoch 345 | time:  8.23s | valid loss  9.42 | valid ppl 12392.37
| end of epoch 346 | time:  8.22s | valid loss  8.50 | valid ppl  4900.40
| end of epoch 347 | time:  8.21s | valid loss  9.09 | valid ppl  8870.40
| end of epoch 348 | time:  8.20s | valid loss  8.10 | valid ppl  3308.68
| end of epoch 349 | time:  8.25s | valid loss  8.62 | valid ppl  5540.90
| end of epoch 350 | time:  8.25s | valid loss  9.09 | valid ppl  8906.25
| end of epoch 351 | time:  8.23s | valid loss  8.89 | valid ppl  7251.60
| end of epoch 352 | time:  8.22s | valid loss  9.85 | valid ppl 18994.26
| end of epoch 353 | time:  8.22s | valid loss  9.72 | valid ppl 16716.87
| end of epoch 354 | time:  8.21s | valid loss  9.04 | valid ppl  8473.88
| end of epoch 355 | time:  8.19s | valid loss 11.03 | valid ppl 61493.95
| end of epoch 356 | time:  8.20s | valid loss  9.37 | valid ppl 11785.93
| end of epoch 357 | time:  8.19s | valid loss  9.00 | valid ppl  8073.48
| end of epoch 358 | time:  8.25s | valid loss  9.58 | valid ppl 14510.96
