| end of epoch 191 | time:  8.16s | valid loss  4.26 | valid ppl    70.78
| end of epoch 192 | time:  8.15s | valid loss  4.26 | valid ppl    70.53
| end of epoch 193 | time:  8.14s | valid loss  4.27 | valid ppl    71.61
| end of epoch 194 | time:  8.13s | valid loss  4.26 | valid ppl    70.79
| end of epoch 195 | time:  8.11s | valid loss  4.26 | valid ppl    70.84
| end of epoch 196 | time:  8.12s | valid loss  4.27 | valid ppl    71.45
| end of epoch 197 | time:  8.15s | valid loss  4.25 | valid ppl    70.25
| end of epoch 198 | time:  8.11s | valid loss  4.26 | valid ppl    70.83
| end of epoch 199 | time:  8.10s | valid loss  4.26 | valid ppl    70.80
| end of epoch 200 | time:  8.13s | valid loss  4.28 | valid ppl    72.37
| end of epoch 201 | time:  8.14s | valid loss  4.26 | valid ppl    70.50
| end of epoch 202 | time:  8.14s | valid loss  4.25 | valid ppl    69.83
| end of epoch 203 | time:  8.14s | valid loss  4.27 | valid ppl    71.31
| end of epoch 204 | time:  8.14s | valid loss  4.26 | valid ppl    70.62
| end of epoch 205 | time:  8.09s | valid loss  4.24 | valid ppl    69.65
| end of epoch 206 | time:  8.09s | valid loss  4.26 | valid ppl    70.73
| end of epoch 207 | time:  8.13s | valid loss  4.25 | valid ppl    69.92
| end of epoch 208 | time:  8.16s | valid loss  4.26 | valid ppl    71.04
| end of epoch 209 | time:  8.15s | valid loss  4.28 | valid ppl    72.46
| end of epoch 210 | time:  8.12s | valid loss  4.25 | valid ppl    70.20
| end of epoch 211 | time:  8.09s | valid loss  4.27 | valid ppl    71.40
| end of epoch 212 | time:  8.13s | valid loss  4.27 | valid ppl    71.63
| end of epoch 213 | time:  8.14s | valid loss  4.27 | valid ppl    71.83
| end of epoch 214 | time:  8.14s | valid loss  4.25 | valid ppl    70.22
| end of epoch 215 | time:  8.12s | valid loss  4.27 | valid ppl    71.69
| end of epoch 216 | time:  8.13s | valid loss  4.26 | valid ppl    70.73
| end of epoch 217 | time:  8.12s | valid loss  4.27 | valid ppl    71.58
| end of epoch 218 | time:  8.10s | valid loss  4.25 | valid ppl    70.41
| end of epoch 219 | time:  8.11s | valid loss  4.26 | valid ppl    70.86
| end of epoch 220 | time:  8.15s | valid loss  4.26 | valid ppl    70.49
| end of epoch 221 | time:  8.14s | valid loss  4.27 | valid ppl    71.61
| end of epoch 222 | time:  8.12s | valid loss  4.24 | valid ppl    69.74
| end of epoch 223 | time:  8.13s | valid loss  4.26 | valid ppl    70.88
| end of epoch 224 | time:  8.14s | valid loss  4.27 | valid ppl    71.36
| end of epoch 225 | time:  8.11s | valid loss  4.26 | valid ppl    70.99
| end of epoch 226 | time:  8.14s | valid loss  4.27 | valid ppl    71.17
| end of epoch 227 | time:  8.14s | valid loss  4.23 | valid ppl    68.62
| end of epoch 228 | time:  8.13s | valid loss  4.23 | valid ppl    68.96
| end of epoch 229 | time:  8.10s | valid loss  4.23 | valid ppl    68.91
| end of epoch 230 | time:  8.12s | valid loss  4.27 | valid ppl    71.80
| end of epoch 231 | time:  8.16s | valid loss  4.25 | valid ppl    70.03
| end of epoch 232 | time:  8.14s | valid loss  4.25 | valid ppl    69.77
| end of epoch 233 | time:  8.12s | valid loss  4.25 | valid ppl    69.79
| end of epoch 234 | time:  8.14s | valid loss  4.27 | valid ppl    71.42
| end of epoch 235 | time:  8.09s | valid loss  4.27 | valid ppl    71.26
| end of epoch 236 | time:  8.08s | valid loss  4.26 | valid ppl    71.09
| end of epoch 237 | time:  8.14s | valid loss  4.25 | valid ppl    69.85
| end of epoch 238 | time:  8.14s | valid loss  4.28 | valid ppl    72.25
| end of epoch 239 | time:  8.15s | valid loss  4.27 | valid ppl    71.52
| end of epoch 240 | time:  8.13s | valid loss  4.25 | valid ppl    70.01
| end of epoch 241 | time:  8.09s | valid loss  4.27 | valid ppl    71.17
| end of epoch 242 | time:  8.08s | valid loss  4.26 | valid ppl    70.79
| end of epoch 243 | time:  8.14s | valid loss  4.24 | valid ppl    69.35
| end of epoch 244 | time:  8.15s | valid loss  4.26 | valid ppl    70.61
| end of epoch 245 | time:  8.14s | valid loss  4.26 | valid ppl    70.78
| end of epoch 246 | time:  8.14s | valid loss  4.24 | valid ppl    69.68
| end of epoch 247 | time:  8.14s | valid loss  4.28 | valid ppl    72.22
| end of epoch 248 | time:  8.11s | valid loss  4.25 | valid ppl    69.92
| end of epoch 249 | time:  8.15s | valid loss  4.27 | valid ppl    71.39
| end of epoch 250 | time:  8.09s | valid loss  4.27 | valid ppl    71.60
| end of epoch 251 | time:  8.15s | valid loss  4.27 | valid ppl    71.18
| end of epoch 252 | time:  8.16s | valid loss  4.26 | valid ppl    70.53
| end of epoch 253 | time:  8.14s | valid loss  4.27 | valid ppl    71.85
| end of epoch 254 | time:  8.14s | valid loss  4.25 | valid ppl    70.45
| end of epoch 255 | time:  8.10s | valid loss  4.25 | valid ppl    70.35
| end of epoch 256 | time:  8.08s | valid loss  4.27 | valid ppl    71.47
| end of epoch 257 | time:  8.09s | valid loss  4.24 | valid ppl    69.74
| end of epoch 258 | time:  8.15s | valid loss  4.28 | valid ppl    72.43
| end of epoch 259 | time:  8.16s | valid loss  4.25 | valid ppl    70.29
| end of epoch 260 | time:  8.15s | valid loss  4.25 | valid ppl    70.31
| end of epoch 261 | time:  8.15s | valid loss  4.27 | valid ppl    71.49
| end of epoch 262 | time:  8.13s | valid loss  4.25 | valid ppl    70.27
| end of epoch 263 | time:  8.11s | valid loss  4.27 | valid ppl    71.43
| end of epoch 264 | time:  8.10s | valid loss  4.27 | valid ppl    71.18
| end of epoch 265 | time:  8.14s | valid loss  4.25 | valid ppl    70.28
