| end of epoch 183 | time:  8.87s | valid loss  4.61 | valid ppl    99.99
| end of epoch 184 | time:  8.87s | valid loss  4.60 | valid ppl    99.74
| end of epoch 185 | time:  8.90s | valid loss  4.55 | valid ppl    94.52
| end of epoch 186 | time:  8.88s | valid loss  4.48 | valid ppl    88.52
| end of epoch 187 | time:  8.88s | valid loss  4.51 | valid ppl    90.64
| end of epoch 188 | time:  8.85s | valid loss  4.58 | valid ppl    97.63
| end of epoch 189 | time:  8.90s | valid loss  4.63 | valid ppl   102.14
| end of epoch 190 | time:  8.87s | valid loss  4.47 | valid ppl    87.51
| end of epoch 191 | time:  8.89s | valid loss  4.56 | valid ppl    95.85
| end of epoch 192 | time:  8.89s | valid loss  4.59 | valid ppl    98.19
| end of epoch 193 | time:  8.88s | valid loss  4.66 | valid ppl   105.67
| end of epoch 194 | time:  8.82s | valid loss  4.54 | valid ppl    93.67
| end of epoch 195 | time:  8.85s | valid loss  4.55 | valid ppl    94.46
| end of epoch 196 | time:  8.87s | valid loss  4.65 | valid ppl   104.18
| end of epoch 197 | time:  8.91s | valid loss  4.54 | valid ppl    93.49
| end of epoch 198 | time:  8.88s | valid loss  4.51 | valid ppl    91.28
| end of epoch 199 | time:  8.88s | valid loss  4.58 | valid ppl    97.45
| end of epoch 200 | time:  8.86s | valid loss  4.61 | valid ppl    99.99
| end of epoch 201 | time:  8.84s | valid loss  4.50 | valid ppl    90.04
| end of epoch 202 | time:  8.89s | valid loss  4.56 | valid ppl    95.96
| end of epoch 203 | time:  8.90s | valid loss  4.56 | valid ppl    95.61
| end of epoch 204 | time:  8.88s | valid loss  4.60 | valid ppl    99.31
| end of epoch 205 | time:  8.86s | valid loss  4.56 | valid ppl    95.35
| end of epoch 206 | time:  8.87s | valid loss  4.54 | valid ppl    93.42
| end of epoch 207 | time:  8.84s | valid loss  4.52 | valid ppl    91.83
| end of epoch 208 | time:  8.86s | valid loss  4.59 | valid ppl    98.20
| end of epoch 209 | time:  8.85s | valid loss  4.60 | valid ppl    99.46
| end of epoch 210 | time:  8.91s | valid loss  4.68 | valid ppl   107.29
| end of epoch 211 | time:  8.92s | valid loss  4.63 | valid ppl   102.98
| end of epoch 212 | time:  8.89s | valid loss  4.54 | valid ppl    93.63
| end of epoch 213 | time:  8.89s | valid loss  4.60 | valid ppl    99.39
| end of epoch 214 | time:  8.83s | valid loss  4.66 | valid ppl   105.91
| end of epoch 215 | time:  8.86s | valid loss  4.58 | valid ppl    97.76
| end of epoch 216 | time:  8.91s | valid loss  4.63 | valid ppl   102.05
| end of epoch 217 | time:  8.91s | valid loss  4.55 | valid ppl    94.26
| end of epoch 218 | time:  8.88s | valid loss  4.60 | valid ppl    99.06
| end of epoch 219 | time:  8.87s | valid loss  4.47 | valid ppl    87.37
| end of epoch 220 | time:  8.87s | valid loss  4.58 | valid ppl    97.75
| end of epoch 221 | time:  8.83s | valid loss  4.70 | valid ppl   109.49
| end of epoch 222 | time:  8.87s | valid loss  4.52 | valid ppl    92.17
| end of epoch 223 | time:  8.89s | valid loss  4.61 | valid ppl   100.95
| end of epoch 224 | time:  8.88s | valid loss  4.65 | valid ppl   104.58
| end of epoch 225 | time:  8.86s | valid loss  4.61 | valid ppl   100.64
| end of epoch 226 | time:  8.86s | valid loss  4.49 | valid ppl    89.30
| end of epoch 227 | time:  8.87s | valid loss  4.59 | valid ppl    98.54
| end of epoch 228 | time:  8.83s | valid loss  4.55 | valid ppl    94.19
| end of epoch 229 | time:  8.87s | valid loss  4.46 | valid ppl    86.44
| end of epoch 230 | time:  8.89s | valid loss  4.67 | valid ppl   106.72
| end of epoch 231 | time:  8.88s | valid loss  4.48 | valid ppl    88.38
| end of epoch 232 | time:  8.87s | valid loss  4.54 | valid ppl    93.24
| end of epoch 233 | time:  8.88s | valid loss  4.59 | valid ppl    98.36
| end of epoch 234 | time:  8.86s | valid loss  4.55 | valid ppl    95.05
| end of epoch 235 | time:  8.87s | valid loss  4.58 | valid ppl    97.20
| end of epoch 236 | time:  8.86s | valid loss  4.55 | valid ppl    94.44
| end of epoch 237 | time:  8.91s | valid loss  4.57 | valid ppl    96.97
| end of epoch 238 | time:  8.92s | valid loss  4.56 | valid ppl    95.73
| end of epoch 239 | time:  8.91s | valid loss  4.55 | valid ppl    94.32
| end of epoch 240 | time:  8.88s | valid loss  4.59 | valid ppl    98.25
| end of epoch 241 | time:  8.88s | valid loss  4.66 | valid ppl   106.14
| end of epoch 242 | time:  8.87s | valid loss  4.54 | valid ppl    93.62
| end of epoch 243 | time:  8.90s | valid loss  4.65 | valid ppl   104.27
| end of epoch 244 | time:  8.89s | valid loss  4.58 | valid ppl    97.15
| end of epoch 245 | time:  8.90s | valid loss  4.51 | valid ppl    90.63
| end of epoch 246 | time:  8.87s | valid loss  4.48 | valid ppl    87.99
| end of epoch 247 | time:  8.87s | valid loss  4.60 | valid ppl    99.83
| end of epoch 248 | time:  8.86s | valid loss  4.60 | valid ppl    99.26
| end of epoch 249 | time:  8.86s | valid loss  4.61 | valid ppl   100.59
| end of epoch 250 | time:  8.87s | valid loss  4.55 | valid ppl    95.10
| end of epoch 251 | time:  8.91s | valid loss  4.57 | valid ppl    96.68
| end of epoch 252 | time:  8.92s | valid loss  4.57 | valid ppl    96.70
| end of epoch 253 | time:  8.88s | valid loss  4.56 | valid ppl    95.21
| end of epoch 254 | time:  8.86s | valid loss  4.56 | valid ppl    95.52
| end of epoch 255 | time:  8.88s | valid loss  4.51 | valid ppl    90.75
| end of epoch 256 | time:  8.88s | valid loss  4.61 | valid ppl   100.29
| end of epoch 257 | time:  8.88s | valid loss  4.47 | valid ppl    87.03
| end of epoch 258 | time:  8.88s | valid loss  4.62 | valid ppl   101.94
| end of epoch 259 | time:  8.89s | valid loss  4.60 | valid ppl    99.94
| end of epoch 260 | time:  8.86s | valid loss  4.64 | valid ppl   103.34
| end of epoch 261 | time:  8.86s | valid loss  4.65 | valid ppl   104.81
| end of epoch 262 | time:  8.88s | valid loss  4.49 | valid ppl    88.87
| end of epoch 263 | time:  8.88s | valid loss  4.57 | valid ppl    96.40
| end of epoch 264 | time:  8.87s | valid loss  4.55 | valid ppl    94.43
| end of epoch 265 | time:  8.86s | valid loss  4.70 | valid ppl   110.30
| end of epoch 266 | time:  8.87s | valid loss  4.64 | valid ppl   103.77
| end of epoch 267 | time:  8.90s | valid loss  4.56 | valid ppl    95.97
| end of epoch 268 | time:  8.85s | valid loss  4.59 | valid ppl    98.83
| end of epoch 269 | time:  8.88s | valid loss  4.57 | valid ppl    96.41
| end of epoch 270 | time:  8.87s | valid loss  4.65 | valid ppl   104.95
| end of epoch 271 | time:  8.88s | valid loss  4.52 | valid ppl    91.49
| end of epoch 272 | time:  8.88s | valid loss  4.60 | valid ppl    99.25
| end of epoch 273 | time:  8.90s | valid loss  4.63 | valid ppl   102.79
| end of epoch 274 | time:  8.87s | valid loss  4.50 | valid ppl    89.85
| end of epoch 275 | time:  8.88s | valid loss  4.59 | valid ppl    98.02
| end of epoch 276 | time:  8.89s | valid loss  4.54 | valid ppl    93.95
| end of epoch 277 | time:  8.89s | valid loss  4.58 | valid ppl    97.46
| end of epoch 278 | time:  8.89s | valid loss  4.61 | valid ppl   100.81
| end of epoch 279 | time:  8.89s | valid loss  4.62 | valid ppl   101.76
| end of epoch 280 | time:  8.86s | valid loss  4.60 | valid ppl    99.40
| end of epoch 281 | time:  8.91s | valid loss  4.51 | valid ppl    91.35
| end of epoch 282 | time:  8.88s | valid loss  4.55 | valid ppl    95.02
| end of epoch 283 | time:  8.90s | valid loss  4.63 | valid ppl   102.35
| end of epoch 284 | time:  8.87s | valid loss  4.53 | valid ppl    92.87
| end of epoch 285 | time:  8.87s | valid loss  4.57 | valid ppl    96.26
| end of epoch 286 | time:  8.88s | valid loss  4.64 | valid ppl   103.98
| end of epoch 287 | time:  8.86s | valid loss  4.50 | valid ppl    89.79
| end of epoch 288 | time:  8.89s | valid loss  4.61 | valid ppl   100.58
| end of epoch 289 | time:  8.91s | valid loss  4.58 | valid ppl    97.41
| end of epoch 290 | time:  8.92s | valid loss  4.60 | valid ppl    99.30
| end of epoch 291 | time:  8.86s | valid loss  4.58 | valid ppl    97.16
| end of epoch 292 | time:  8.87s | valid loss  4.59 | valid ppl    98.47
| end of epoch 293 | time:  8.87s | valid loss  4.58 | valid ppl    97.23
| end of epoch 294 | time:  8.88s | valid loss  4.57 | valid ppl    96.71
| end of epoch 295 | time:  8.86s | valid loss  4.54 | valid ppl    93.30
| end of epoch 296 | time:  8.86s | valid loss  4.69 | valid ppl   108.37
| end of epoch 297 | time:  8.89s | valid loss  4.62 | valid ppl   101.42
| end of epoch 298 | time:  8.86s | valid loss  4.61 | valid ppl   100.56
| end of epoch 299 | time:  8.87s | valid loss  4.62 | valid ppl   101.49
| end of epoch 300 | time:  8.89s | valid loss  4.56 | valid ppl    95.48
| end of epoch 301 | time:  8.92s | valid loss  4.58 | valid ppl    97.96
| end of epoch 302 | time:  8.87s | valid loss  4.55 | valid ppl    94.39
| end of epoch 303 | time:  8.88s | valid loss  4.63 | valid ppl   102.28
| end of epoch 304 | time:  8.88s | valid loss  4.51 | valid ppl    90.56
| end of epoch 305 | time:  8.88s | valid loss  4.60 | valid ppl    99.77
| end of epoch 306 | time:  8.87s | valid loss  4.56 | valid ppl    95.50
| end of epoch 307 | time:  8.84s | valid loss  4.62 | valid ppl   101.45
| end of epoch 308 | time:  8.88s | valid loss  4.72 | valid ppl   111.87
| end of epoch 309 | time:  8.86s | valid loss  4.67 | valid ppl   106.60
| end of epoch 310 | time:  8.88s | valid loss  4.63 | valid ppl   102.31
| end of epoch 311 | time:  8.90s | valid loss  4.70 | valid ppl   109.64
| end of epoch 312 | time:  8.88s | valid loss  4.58 | valid ppl    97.79
| end of epoch 313 | time:  8.88s | valid loss  4.65 | valid ppl   104.90
| end of epoch 314 | time:  8.86s | valid loss  4.61 | valid ppl   100.96
| end of epoch 315 | time:  8.89s | valid loss  4.55 | valid ppl    95.10
| end of epoch 316 | time:  8.91s | valid loss  4.61 | valid ppl   100.22
| end of epoch 317 | time:  8.88s | valid loss  4.58 | valid ppl    97.96
| end of epoch 318 | time:  8.89s | valid loss  4.58 | valid ppl    97.38
| end of epoch 319 | time:  8.86s | valid loss  4.59 | valid ppl    98.63
| end of epoch 320 | time:  8.84s | valid loss  4.62 | valid ppl   101.33
| end of epoch 321 | time:  8.85s | valid loss  4.63 | valid ppl   102.05
| end of epoch 322 | time:  8.87s | valid loss  4.59 | valid ppl    98.83
| end of epoch 323 | time:  8.87s | valid loss  4.61 | valid ppl   100.79
| end of epoch 324 | time:  8.87s | valid loss  4.59 | valid ppl    98.89
| end of epoch 325 | time:  8.88s | valid loss  4.51 | valid ppl    90.55
| end of epoch 326 | time:  8.88s | valid loss  4.71 | valid ppl   110.56
| end of epoch 327 | time:  8.85s | valid loss  4.57 | valid ppl    96.27
| end of epoch 328 | time:  8.90s | valid loss  4.59 | valid ppl    98.50
| end of epoch 329 | time:  8.86s | valid loss  4.61 | valid ppl   100.28
| end of epoch 330 | time:  8.87s | valid loss  4.60 | valid ppl    99.02
| end of epoch 331 | time:  8.89s | valid loss  4.69 | valid ppl   108.56
| end of epoch 332 | time:  8.93s | valid loss  4.57 | valid ppl    96.21
| end of epoch 333 | time:  8.90s | valid loss  4.58 | valid ppl    97.55
| end of epoch 334 | time:  8.88s | valid loss  4.54 | valid ppl    93.75
| end of epoch 335 | time:  8.90s | valid loss  4.64 | valid ppl   103.50
| end of epoch 336 | time:  8.88s | valid loss  4.56 | valid ppl    95.99
| end of epoch 337 | time:  8.87s | valid loss  4.52 | valid ppl    91.90
| end of epoch 338 | time:  8.89s | valid loss  4.57 | valid ppl    96.20
| end of epoch 339 | time:  8.90s | valid loss  4.66 | valid ppl   105.20
| end of epoch 340 | time:  8.90s | valid loss  4.59 | valid ppl    98.24
| end of epoch 341 | time:  8.84s | valid loss  4.60 | valid ppl    99.41
| end of epoch 342 | time:  8.86s | valid loss  4.60 | valid ppl    99.23
| end of epoch 343 | time:  8.88s | valid loss  4.57 | valid ppl    96.70
| end of epoch 344 | time:  8.89s | valid loss  4.59 | valid ppl    98.35
| end of epoch 345 | time:  8.88s | valid loss  4.52 | valid ppl    92.18
| end of epoch 346 | time:  8.88s | valid loss  4.58 | valid ppl    97.07
| end of epoch 347 | time:  8.86s | valid loss  4.56 | valid ppl    95.49
| end of epoch 348 | time:  8.84s | valid loss  4.53 | valid ppl    92.51
| end of epoch 349 | time:  8.87s | valid loss  4.60 | valid ppl    99.79
| end of epoch 350 | time:  8.87s | valid loss  4.51 | valid ppl    90.57
| end of epoch 351 | time:  8.90s | valid loss  4.58 | valid ppl    97.40
| end of epoch 352 | time:  8.90s | valid loss  4.61 | valid ppl   100.02
| end of epoch 353 | time:  8.88s | valid loss  4.65 | valid ppl   104.46
| end of epoch 354 | time:  8.86s | valid loss  4.62 | valid ppl   101.54
| end of epoch 355 | time:  8.85s | valid loss  4.60 | valid ppl    99.28
| end of epoch 356 | time:  8.87s | valid loss  4.61 | valid ppl   100.53
| end of epoch 357 | time:  8.88s | valid loss  4.60 | valid ppl    99.18
| end of epoch 358 | time:  8.89s | valid loss  4.63 | valid ppl   102.04
| end of epoch 359 | time:  8.87s | valid loss  4.61 | valid ppl   100.58
| end of epoch 360 | time:  8.84s | valid loss  4.65 | valid ppl   104.36
| end of epoch 361 | time:  8.86s | valid loss  4.74 | valid ppl   114.05
| end of epoch 362 | time:  8.87s | valid loss  4.60 | valid ppl    99.83
| end of epoch 363 | time:  8.87s | valid loss  4.64 | valid ppl   103.03
| end of epoch 364 | time:  8.88s | valid loss  4.64 | valid ppl   103.99
| end of epoch 365 | time:  8.87s | valid loss  4.65 | valid ppl   104.44
| end of epoch 366 | time:  8.88s | valid loss  4.68 | valid ppl   107.43
| end of epoch 367 | time:  8.89s | valid loss  4.62 | valid ppl   101.56
| end of epoch 368 | time:  8.86s | valid loss  4.67 | valid ppl   106.41
