| end of epoch 200 | time:  7.98s | valid loss 13.30 | valid ppl 595873.79
| end of epoch 201 | time:  7.96s | valid loss 13.05 | valid ppl 464652.96
| end of epoch 202 | time:  7.98s | valid loss 13.18 | valid ppl 531940.39
| end of epoch 203 | time:  7.95s | valid loss 12.29 | valid ppl 218147.10
| end of epoch 204 | time:  7.92s | valid loss 13.90 | valid ppl 1083211.62
| end of epoch 205 | time:  7.93s | valid loss 12.81 | valid ppl 364920.62
| end of epoch 206 | time:  7.94s | valid loss 11.39 | valid ppl 88523.75
| end of epoch 207 | time:  7.94s | valid loss 12.96 | valid ppl 425832.05
| end of epoch 208 | time:  7.93s | valid loss 13.96 | valid ppl 1159965.51
| end of epoch 209 | time:  7.94s | valid loss 12.18 | valid ppl 194341.71
| end of epoch 210 | time:  7.99s | valid loss 14.13 | valid ppl 1364074.55
| end of epoch 211 | time:  7.95s | valid loss 13.07 | valid ppl 472372.33
| end of epoch 212 | time:  7.94s | valid loss 12.07 | valid ppl 175075.83
| end of epoch 213 | time:  7.98s | valid loss 13.07 | valid ppl 474694.83
| end of epoch 214 | time:  7.99s | valid loss 12.29 | valid ppl 217680.36
| end of epoch 215 | time:  7.94s | valid loss 17.43 | valid ppl 37299117.63
| end of epoch 216 | time:  7.95s | valid loss 17.32 | valid ppl 33200780.97
| end of epoch 217 | time:  7.94s | valid loss 17.38 | valid ppl 35237330.28
| end of epoch 218 | time:  7.94s | valid loss 13.19 | valid ppl 533484.08
| end of epoch 219 | time:  7.96s | valid loss 14.30 | valid ppl 1622787.47
| end of epoch 220 | time:  7.96s | valid loss 15.25 | valid ppl 4181674.25
| end of epoch 221 | time:  7.95s | valid loss 12.17 | valid ppl 192676.24
| end of epoch 222 | time:  7.96s | valid loss 11.26 | valid ppl 77685.36
| end of epoch 223 | time:  7.99s | valid loss 11.81 | valid ppl 134005.34
| end of epoch 224 | time:  7.96s | valid loss 12.16 | valid ppl 191257.96
| end of epoch 225 | time:  7.94s | valid loss 12.23 | valid ppl 205783.02
| end of epoch 226 | time:  7.91s | valid loss 12.43 | valid ppl 251378.25
| end of epoch 227 | time:  7.93s | valid loss 18.13 | valid ppl 74866790.94
| end of epoch 228 | time:  7.93s | valid loss 12.36 | valid ppl 233742.05
| end of epoch 229 | time:  7.94s | valid loss 13.42 | valid ppl 675355.03
| end of epoch 230 | time:  7.95s | valid loss 12.79 | valid ppl 358071.86
| end of epoch 231 | time:  7.97s | valid loss 13.76 | valid ppl 943456.47
| end of epoch 232 | time:  8.00s | valid loss 13.20 | valid ppl 539478.64
| end of epoch 233 | time:  7.94s | valid loss 12.57 | valid ppl 288280.24
| end of epoch 234 | time:  7.95s | valid loss 12.97 | valid ppl 428034.42
| end of epoch 235 | time:  7.95s | valid loss 18.32 | valid ppl 90144893.72
| end of epoch 236 | time:  7.93s | valid loss 12.37 | valid ppl 236168.96
| end of epoch 237 | time:  7.94s | valid loss 13.97 | valid ppl 1164807.76
| end of epoch 238 | time:  7.99s | valid loss 11.49 | valid ppl 97405.09
| end of epoch 239 | time:  7.96s | valid loss 14.68 | valid ppl 2373097.57
| end of epoch 240 | time:  7.95s | valid loss 14.07 | valid ppl 1291222.11
| end of epoch 241 | time:  7.94s | valid loss 12.08 | valid ppl 175730.14
| end of epoch 242 | time:  7.95s | valid loss 16.26 | valid ppl 11487502.87
| end of epoch 243 | time:  7.95s | valid loss 12.79 | valid ppl 359521.33
| end of epoch 244 | time:  7.94s | valid loss 11.41 | valid ppl 89985.80
| end of epoch 245 | time:  7.96s | valid loss 14.38 | valid ppl 1756803.53
| end of epoch 246 | time:  7.94s | valid loss 12.91 | valid ppl 403742.66
| end of epoch 247 | time:  7.97s | valid loss 12.68 | valid ppl 321800.88
| end of epoch 248 | time:  7.97s | valid loss 14.34 | valid ppl 1683483.90
| end of epoch 249 | time:  7.94s | valid loss 12.42 | valid ppl 248035.38
| end of epoch 250 | time:  7.96s | valid loss 11.31 | valid ppl 81244.11
| end of epoch 251 | time:  7.96s | valid loss 14.31 | valid ppl 1646222.39
| end of epoch 252 | time:  7.97s | valid loss 12.50 | valid ppl 267894.90
| end of epoch 253 | time:  7.98s | valid loss 12.98 | valid ppl 433235.17
| end of epoch 254 | time:  7.96s | valid loss 12.23 | valid ppl 205150.75
| end of epoch 255 | time:  7.95s | valid loss 17.54 | valid ppl 41358706.38
| end of epoch 256 | time:  7.95s | valid loss 13.02 | valid ppl 452116.32
| end of epoch 257 | time:  7.95s | valid loss 13.03 | valid ppl 454281.53
| end of epoch 258 | time:  7.97s | valid loss 12.53 | valid ppl 275563.45
| end of epoch 259 | time:  7.97s | valid loss 13.25 | valid ppl 567949.81
| end of epoch 260 | time:  7.96s | valid loss 12.25 | valid ppl 208155.74
| end of epoch 261 | time:  7.97s | valid loss 10.54 | valid ppl 37947.58
| end of epoch 262 | time:  7.97s | valid loss 14.54 | valid ppl 2062042.68
