| end of epoch 193 | time:  8.87s | valid loss  4.20 | valid ppl    66.75
| end of epoch 194 | time:  8.87s | valid loss  4.19 | valid ppl    66.09
| end of epoch 195 | time:  8.86s | valid loss  4.20 | valid ppl    66.76
| end of epoch 196 | time:  8.87s | valid loss  4.21 | valid ppl    67.54
| end of epoch 197 | time:  8.86s | valid loss  4.19 | valid ppl    66.10
| end of epoch 198 | time:  8.86s | valid loss  4.19 | valid ppl    66.22
| end of epoch 199 | time:  8.90s | valid loss  4.22 | valid ppl    67.76
| end of epoch 200 | time:  8.87s | valid loss  4.22 | valid ppl    68.01
| end of epoch 201 | time:  8.89s | valid loss  4.20 | valid ppl    67.00
| end of epoch 202 | time:  8.89s | valid loss  4.18 | valid ppl    65.18
| end of epoch 203 | time:  8.90s | valid loss  4.21 | valid ppl    67.51
| end of epoch 204 | time:  8.92s | valid loss  4.20 | valid ppl    66.79
| end of epoch 205 | time:  8.88s | valid loss  4.19 | valid ppl    65.86
| end of epoch 206 | time:  8.89s | valid loss  4.21 | valid ppl    67.42
| end of epoch 207 | time:  8.88s | valid loss  4.18 | valid ppl    65.41
| end of epoch 208 | time:  8.90s | valid loss  4.21 | valid ppl    67.52
| end of epoch 209 | time:  8.88s | valid loss  4.22 | valid ppl    68.26
| end of epoch 210 | time:  8.87s | valid loss  4.18 | valid ppl    65.50
| end of epoch 211 | time:  8.87s | valid loss  4.21 | valid ppl    67.40
| end of epoch 212 | time:  8.88s | valid loss  4.22 | valid ppl    67.71
| end of epoch 213 | time:  8.87s | valid loss  4.21 | valid ppl    67.66
| end of epoch 214 | time:  8.87s | valid loss  4.19 | valid ppl    65.82
| end of epoch 215 | time:  8.88s | valid loss  4.21 | valid ppl    67.51
| end of epoch 216 | time:  8.87s | valid loss  4.21 | valid ppl    67.57
| end of epoch 217 | time:  8.90s | valid loss  4.22 | valid ppl    67.81
| end of epoch 218 | time:  8.92s | valid loss  4.20 | valid ppl    66.43
| end of epoch 219 | time:  8.86s | valid loss  4.21 | valid ppl    67.11
| end of epoch 220 | time:  8.88s | valid loss  4.21 | valid ppl    67.13
| end of epoch 221 | time:  8.86s | valid loss  4.21 | valid ppl    67.65
| end of epoch 222 | time:  8.85s | valid loss  4.20 | valid ppl    66.91
| end of epoch 223 | time:  8.85s | valid loss  4.22 | valid ppl    68.06
| end of epoch 224 | time:  8.91s | valid loss  4.23 | valid ppl    68.47
| end of epoch 225 | time:  8.92s | valid loss  4.20 | valid ppl    66.53
| end of epoch 226 | time:  8.90s | valid loss  4.21 | valid ppl    67.56
| end of epoch 227 | time:  8.86s | valid loss  4.17 | valid ppl    64.90
| end of epoch 228 | time:  8.84s | valid loss  4.18 | valid ppl    65.69
| end of epoch 229 | time:  8.88s | valid loss  4.18 | valid ppl    65.59
| end of epoch 230 | time:  8.87s | valid loss  4.22 | valid ppl    68.06
| end of epoch 231 | time:  8.88s | valid loss  4.20 | valid ppl    66.71
| end of epoch 232 | time:  8.89s | valid loss  4.20 | valid ppl    66.62
| end of epoch 233 | time:  8.86s | valid loss  4.20 | valid ppl    66.66
| end of epoch 234 | time:  8.88s | valid loss  4.23 | valid ppl    68.47
| end of epoch 235 | time:  8.89s | valid loss  4.21 | valid ppl    67.51
| end of epoch 236 | time:  8.87s | valid loss  4.22 | valid ppl    67.73
| end of epoch 237 | time:  8.86s | valid loss  4.20 | valid ppl    66.37
| end of epoch 238 | time:  8.86s | valid loss  4.24 | valid ppl    69.38
| end of epoch 239 | time:  8.88s | valid loss  4.23 | valid ppl    68.58
| end of epoch 240 | time:  8.89s | valid loss  4.21 | valid ppl    67.62
| end of epoch 241 | time:  8.87s | valid loss  4.23 | valid ppl    68.39
| end of epoch 242 | time:  8.85s | valid loss  4.21 | valid ppl    67.22
| end of epoch 243 | time:  8.87s | valid loss  4.19 | valid ppl    66.21
| end of epoch 244 | time:  8.87s | valid loss  4.22 | valid ppl    68.00
| end of epoch 245 | time:  8.92s | valid loss  4.21 | valid ppl    67.15
| end of epoch 246 | time:  8.90s | valid loss  4.20 | valid ppl    66.59
| end of epoch 247 | time:  8.87s | valid loss  4.23 | valid ppl    68.87
| end of epoch 248 | time:  8.86s | valid loss  4.21 | valid ppl    67.43
| end of epoch 249 | time:  8.85s | valid loss  4.23 | valid ppl    68.87
| end of epoch 250 | time:  8.87s | valid loss  4.23 | valid ppl    68.49
| end of epoch 251 | time:  8.85s | valid loss  4.22 | valid ppl    68.36
| end of epoch 252 | time:  8.88s | valid loss  4.22 | valid ppl    67.87
| end of epoch 253 | time:  8.89s | valid loss  4.25 | valid ppl    69.92
| end of epoch 254 | time:  8.88s | valid loss  4.21 | valid ppl    67.41
| end of epoch 255 | time:  8.86s | valid loss  4.21 | valid ppl    67.23
| end of epoch 256 | time:  8.86s | valid loss  4.22 | valid ppl    68.15
| end of epoch 257 | time:  8.91s | valid loss  4.19 | valid ppl    66.22
| end of epoch 258 | time:  8.87s | valid loss  4.24 | valid ppl    69.54
| end of epoch 259 | time:  8.87s | valid loss  4.21 | valid ppl    67.55
| end of epoch 260 | time:  8.89s | valid loss  4.21 | valid ppl    67.54
| end of epoch 261 | time:  8.84s | valid loss  4.23 | valid ppl    68.99
| end of epoch 262 | time:  8.85s | valid loss  4.21 | valid ppl    67.13
| end of epoch 263 | time:  8.84s | valid loss  4.26 | valid ppl    70.56
| end of epoch 264 | time:  8.87s | valid loss  4.23 | valid ppl    68.43
| end of epoch 265 | time:  8.90s | valid loss  4.24 | valid ppl    69.23
| end of epoch 266 | time:  8.89s | valid loss  4.25 | valid ppl    70.03
| end of epoch 267 | time:  8.88s | valid loss  4.23 | valid ppl    68.56
| end of epoch 268 | time:  8.84s | valid loss  4.21 | valid ppl    67.46
| end of epoch 269 | time:  8.86s | valid loss  4.23 | valid ppl    68.57
| end of epoch 270 | time:  8.86s | valid loss  4.25 | valid ppl    69.90
| end of epoch 271 | time:  8.85s | valid loss  4.22 | valid ppl    68.26
| end of epoch 272 | time:  8.85s | valid loss  4.23 | valid ppl    68.96
| end of epoch 273 | time:  8.86s | valid loss  4.24 | valid ppl    69.08
| end of epoch 274 | time:  8.88s | valid loss  4.24 | valid ppl    69.08
| end of epoch 275 | time:  8.87s | valid loss  4.23 | valid ppl    68.71
| end of epoch 276 | time:  8.87s | valid loss  4.23 | valid ppl    68.86
| end of epoch 277 | time:  8.84s | valid loss  4.21 | valid ppl    67.26
| end of epoch 278 | time:  8.87s | valid loss  4.23 | valid ppl    68.61
| end of epoch 279 | time:  8.90s | valid loss  4.23 | valid ppl    68.65
| end of epoch 280 | time:  8.87s | valid loss  4.26 | valid ppl    70.78
| end of epoch 281 | time:  8.86s | valid loss  4.24 | valid ppl    69.16
| end of epoch 282 | time:  8.91s | valid loss  4.23 | valid ppl    68.60
| end of epoch 283 | time:  8.90s | valid loss  4.26 | valid ppl    70.83
| end of epoch 284 | time:  8.88s | valid loss  4.22 | valid ppl    67.90
| end of epoch 285 | time:  8.88s | valid loss  4.22 | valid ppl    68.25
| end of epoch 286 | time:  8.86s | valid loss  4.25 | valid ppl    70.00
| end of epoch 287 | time:  8.85s | valid loss  4.23 | valid ppl    68.76
| end of epoch 288 | time:  8.89s | valid loss  4.24 | valid ppl    69.36
| end of epoch 289 | time:  8.86s | valid loss  4.23 | valid ppl    68.84
| end of epoch 290 | time:  8.88s | valid loss  4.21 | valid ppl    67.49
| end of epoch 291 | time:  8.87s | valid loss  4.24 | valid ppl    69.20
| end of epoch 292 | time:  8.87s | valid loss  4.26 | valid ppl    70.91
| end of epoch 293 | time:  8.92s | valid loss  4.25 | valid ppl    69.94
| end of epoch 294 | time:  8.90s | valid loss  4.22 | valid ppl    68.16
| end of epoch 295 | time:  8.87s | valid loss  4.23 | valid ppl    68.57
| end of epoch 296 | time:  8.89s | valid loss  4.22 | valid ppl    68.33
| end of epoch 297 | time:  8.88s | valid loss  4.23 | valid ppl    68.40
| end of epoch 298 | time:  8.88s | valid loss  4.27 | valid ppl    71.67
| end of epoch 299 | time:  8.90s | valid loss  4.25 | valid ppl    70.18
| end of epoch 300 | time:  8.88s | valid loss  4.26 | valid ppl    70.51
| end of epoch 301 | time:  8.86s | valid loss  4.21 | valid ppl    67.53
| end of epoch 302 | time:  8.87s | valid loss  4.24 | valid ppl    69.43
