| end of epoch 341 | time:  7.94s | valid loss  4.53 | valid ppl    92.33
| end of epoch 342 | time:  7.94s | valid loss  4.54 | valid ppl    93.30
| end of epoch 343 | time:  7.95s | valid loss  4.55 | valid ppl    94.59
| end of epoch 344 | time:  7.97s | valid loss  4.53 | valid ppl    92.77
| end of epoch 345 | time:  7.96s | valid loss  4.50 | valid ppl    90.03
| end of epoch 346 | time:  7.95s | valid loss  4.53 | valid ppl    93.12
| end of epoch 347 | time:  7.92s | valid loss  4.52 | valid ppl    91.54
| end of epoch 348 | time:  7.94s | valid loss  4.51 | valid ppl    90.61
| end of epoch 349 | time:  7.92s | valid loss  4.52 | valid ppl    91.44
| end of epoch 350 | time:  7.92s | valid loss  4.48 | valid ppl    88.50
| end of epoch 351 | time:  7.98s | valid loss  4.51 | valid ppl    90.96
| end of epoch 352 | time:  7.95s | valid loss  4.53 | valid ppl    92.48
| end of epoch 353 | time:  7.95s | valid loss  4.49 | valid ppl    88.80
| end of epoch 354 | time:  7.94s | valid loss  4.53 | valid ppl    92.50
| end of epoch 355 | time:  7.93s | valid loss  4.52 | valid ppl    92.26
| end of epoch 356 | time:  7.96s | valid loss  4.53 | valid ppl    92.38
| end of epoch 357 | time:  7.94s | valid loss  4.50 | valid ppl    90.34
| end of epoch 358 | time:  7.93s | valid loss  4.53 | valid ppl    92.62
| end of epoch 359 | time:  7.94s | valid loss  4.54 | valid ppl    93.25
| end of epoch 360 | time:  7.96s | valid loss  4.52 | valid ppl    91.97
| end of epoch 361 | time:  7.92s | valid loss  4.53 | valid ppl    92.59
| end of epoch 362 | time:  7.94s | valid loss  4.54 | valid ppl    93.40
| end of epoch 363 | time:  7.93s | valid loss  4.51 | valid ppl    91.37
| end of epoch 364 | time:  7.93s | valid loss  4.53 | valid ppl    92.46
| end of epoch 365 | time:  7.94s | valid loss  4.52 | valid ppl    91.92
| end of epoch 366 | time:  7.94s | valid loss  4.56 | valid ppl    95.67
| end of epoch 367 | time:  7.93s | valid loss  4.52 | valid ppl    92.21
| end of epoch 368 | time:  7.93s | valid loss  4.53 | valid ppl    92.87
