| end of epoch 153 | time:  9.17s | valid loss  4.58 | valid ppl    97.88
| end of epoch 154 | time:  9.15s | valid loss  4.60 | valid ppl    99.82
| end of epoch 155 | time:  9.16s | valid loss  4.59 | valid ppl    98.99
| end of epoch 156 | time:  9.14s | valid loss  4.62 | valid ppl   101.14
| end of epoch 157 | time:  9.13s | valid loss  4.61 | valid ppl   100.63
| end of epoch 158 | time:  9.12s | valid loss  4.63 | valid ppl   102.52
| end of epoch 159 | time:  9.15s | valid loss  4.58 | valid ppl    97.70
| end of epoch 160 | time:  9.16s | valid loss  4.58 | valid ppl    97.65
| end of epoch 161 | time:  9.14s | valid loss  4.67 | valid ppl   107.19
| end of epoch 162 | time:  9.14s | valid loss  4.59 | valid ppl    98.30
| end of epoch 163 | time:  9.13s | valid loss  4.66 | valid ppl   106.04
| end of epoch 164 | time:  9.13s | valid loss  4.66 | valid ppl   105.78
| end of epoch 165 | time:  9.15s | valid loss  4.65 | valid ppl   104.37
| end of epoch 166 | time:  9.13s | valid loss  4.62 | valid ppl   101.43
| end of epoch 167 | time:  9.14s | valid loss  4.65 | valid ppl   104.56
| end of epoch 168 | time:  9.15s | valid loss  4.61 | valid ppl   100.24
| end of epoch 169 | time:  9.12s | valid loss  4.58 | valid ppl    97.64
| end of epoch 170 | time:  9.11s | valid loss  4.60 | valid ppl    99.17
| end of epoch 171 | time:  9.15s | valid loss  4.67 | valid ppl   106.20
| end of epoch 172 | time:  9.15s | valid loss  4.61 | valid ppl   100.54
| end of epoch 173 | time:  9.14s | valid loss  4.63 | valid ppl   102.11
| end of epoch 174 | time:  9.13s | valid loss  4.55 | valid ppl    95.09
| end of epoch 175 | time:  9.11s | valid loss  4.60 | valid ppl    99.73
| end of epoch 176 | time:  9.16s | valid loss  4.60 | valid ppl    99.78
| end of epoch 177 | time:  9.14s | valid loss  4.60 | valid ppl    99.14
| end of epoch 178 | time:  9.15s | valid loss  4.61 | valid ppl    99.99
| end of epoch 179 | time:  9.13s | valid loss  4.63 | valid ppl   102.13
| end of epoch 180 | time:  9.13s | valid loss  4.60 | valid ppl    99.15
| end of epoch 181 | time:  9.13s | valid loss  4.61 | valid ppl   100.80
| end of epoch 182 | time:  9.12s | valid loss  4.64 | valid ppl   104.03
| end of epoch 183 | time:  9.16s | valid loss  4.68 | valid ppl   107.77
| end of epoch 184 | time:  9.18s | valid loss  4.58 | valid ppl    97.26
| end of epoch 185 | time:  9.19s | valid loss  4.61 | valid ppl   100.80
| end of epoch 186 | time:  9.15s | valid loss  4.56 | valid ppl    95.40
| end of epoch 187 | time:  9.14s | valid loss  4.61 | valid ppl   100.94
| end of epoch 188 | time:  9.10s | valid loss  4.60 | valid ppl    99.36
| end of epoch 189 | time:  9.12s | valid loss  4.69 | valid ppl   109.28
| end of epoch 190 | time:  9.18s | valid loss  4.58 | valid ppl    97.21
| end of epoch 191 | time:  9.18s | valid loss  4.57 | valid ppl    96.70
| end of epoch 192 | time:  9.15s | valid loss  4.61 | valid ppl   100.11
