| end of epoch 221 | time: 13.23s | valid loss  3.92 | valid ppl    50.39
| end of epoch 222 | time: 13.24s | valid loss  3.89 | valid ppl    49.01
| end of epoch 223 | time: 13.23s | valid loss  3.91 | valid ppl    49.91
| end of epoch 224 | time: 13.24s | valid loss  3.91 | valid ppl    50.04
| end of epoch 225 | time: 13.23s | valid loss  3.91 | valid ppl    50.01
| end of epoch 226 | time: 13.23s | valid loss  3.91 | valid ppl    49.97
| end of epoch 227 | time: 13.22s | valid loss  3.88 | valid ppl    48.38
| end of epoch 228 | time: 13.23s | valid loss  3.88 | valid ppl    48.39
| end of epoch 229 | time: 13.23s | valid loss  3.89 | valid ppl    48.80
| end of epoch 230 | time: 13.23s | valid loss  3.92 | valid ppl    50.33
| end of epoch 231 | time: 13.23s | valid loss  3.89 | valid ppl    49.07
| end of epoch 232 | time: 13.23s | valid loss  3.89 | valid ppl    48.98
| end of epoch 233 | time: 13.23s | valid loss  3.89 | valid ppl    49.02
| end of epoch 234 | time: 13.23s | valid loss  3.92 | valid ppl    50.23
| end of epoch 235 | time: 13.23s | valid loss  3.91 | valid ppl    50.04
| end of epoch 236 | time: 13.24s | valid loss  3.92 | valid ppl    50.22
| end of epoch 237 | time: 13.23s | valid loss  3.90 | valid ppl    49.29
| end of epoch 238 | time: 13.24s | valid loss  3.93 | valid ppl    50.78
| end of epoch 239 | time: 13.23s | valid loss  3.92 | valid ppl    50.38
| end of epoch 240 | time: 13.24s | valid loss  3.90 | valid ppl    49.57
| end of epoch 241 | time: 13.23s | valid loss  3.91 | valid ppl    49.85
| end of epoch 242 | time: 13.23s | valid loss  3.91 | valid ppl    49.66
| end of epoch 243 | time: 13.24s | valid loss  3.88 | valid ppl    48.66
| end of epoch 244 | time: 13.23s | valid loss  3.91 | valid ppl    49.80
| end of epoch 245 | time: 13.23s | valid loss  3.91 | valid ppl    49.65
| end of epoch 246 | time: 13.22s | valid loss  3.89 | valid ppl    48.94
| end of epoch 247 | time: 13.23s | valid loss  3.92 | valid ppl    50.53
| end of epoch 248 | time: 13.23s | valid loss  3.90 | valid ppl    49.18
| end of epoch 249 | time: 13.23s | valid loss  3.92 | valid ppl    50.21
| end of epoch 250 | time: 13.24s | valid loss  3.92 | valid ppl    50.27
| end of epoch 251 | time: 13.24s | valid loss  3.91 | valid ppl    49.71
| end of epoch 252 | time: 13.24s | valid loss  3.90 | valid ppl    49.59
| end of epoch 253 | time: 13.23s | valid loss  3.92 | valid ppl    50.52
| end of epoch 254 | time: 13.23s | valid loss  3.90 | valid ppl    49.59
| end of epoch 255 | time: 13.23s | valid loss  3.90 | valid ppl    49.39
| end of epoch 256 | time: 13.23s | valid loss  3.92 | valid ppl    50.22
| end of epoch 257 | time: 13.23s | valid loss  3.89 | valid ppl    48.96
| end of epoch 258 | time: 13.23s | valid loss  3.93 | valid ppl    50.91
| end of epoch 259 | time: 13.23s | valid loss  3.90 | valid ppl    49.31
| end of epoch 260 | time: 13.22s | valid loss  3.90 | valid ppl    49.50
| end of epoch 261 | time: 13.24s | valid loss  3.91 | valid ppl    50.11
| end of epoch 262 | time: 13.23s | valid loss  3.90 | valid ppl    49.38
| end of epoch 263 | time: 13.24s | valid loss  3.91 | valid ppl    50.06
| end of epoch 264 | time: 13.23s | valid loss  3.91 | valid ppl    50.07
| end of epoch 265 | time: 13.24s | valid loss  3.90 | valid ppl    49.56
| end of epoch 266 | time: 13.25s | valid loss  3.92 | valid ppl    50.60
| end of epoch 267 | time: 13.23s | valid loss  3.90 | valid ppl    49.47
| end of epoch 268 | time: 13.24s | valid loss  3.89 | valid ppl    49.04
| end of epoch 269 | time: 13.23s | valid loss  3.91 | valid ppl    50.06
| end of epoch 270 | time: 13.23s | valid loss  3.92 | valid ppl    50.45
| end of epoch 271 | time: 13.22s | valid loss  3.90 | valid ppl    49.43
| end of epoch 272 | time: 13.23s | valid loss  3.91 | valid ppl    49.86
| end of epoch 273 | time: 13.24s | valid loss  3.91 | valid ppl    49.79
| end of epoch 274 | time: 13.24s | valid loss  3.91 | valid ppl    49.98
| end of epoch 275 | time: 13.24s | valid loss  3.91 | valid ppl    49.83
| end of epoch 276 | time: 13.24s | valid loss  3.89 | valid ppl    49.10
| end of epoch 277 | time: 13.24s | valid loss  3.89 | valid ppl    48.98
| end of epoch 278 | time: 13.23s | valid loss  3.91 | valid ppl    49.81
| end of epoch 279 | time: 13.23s | valid loss  3.89 | valid ppl    48.83
| end of epoch 280 | time: 13.24s | valid loss  3.92 | valid ppl    50.40
| end of epoch 281 | time: 13.22s | valid loss  3.90 | valid ppl    49.36
| end of epoch 282 | time: 13.24s | valid loss  3.91 | valid ppl    49.68
| end of epoch 283 | time: 13.24s | valid loss  3.94 | valid ppl    51.35
| end of epoch 284 | time: 13.24s | valid loss  3.89 | valid ppl    48.99
| end of epoch 285 | time: 13.23s | valid loss  3.90 | valid ppl    49.26
| end of epoch 286 | time: 13.24s | valid loss  3.92 | valid ppl    50.26
| end of epoch 287 | time: 13.24s | valid loss  3.91 | valid ppl    49.79
| end of epoch 288 | time: 13.23s | valid loss  3.90 | valid ppl    49.63
| end of epoch 289 | time: 13.24s | valid loss  3.91 | valid ppl    50.12
| end of epoch 290 | time: 13.23s | valid loss  3.89 | valid ppl    48.85
| end of epoch 291 | time: 13.23s | valid loss  3.91 | valid ppl    49.65
| end of epoch 292 | time: 13.23s | valid loss  3.93 | valid ppl    50.80
| end of epoch 293 | time: 13.24s | valid loss  3.92 | valid ppl    50.17
| end of epoch 294 | time: 13.25s | valid loss  3.90 | valid ppl    49.55
| end of epoch 295 | time: 13.24s | valid loss  3.90 | valid ppl    49.27
| end of epoch 296 | time: 13.23s | valid loss  3.90 | valid ppl    49.46
| end of epoch 297 | time: 13.22s | valid loss  3.89 | valid ppl    48.89
| end of epoch 298 | time: 13.23s | valid loss  3.93 | valid ppl    50.99
| end of epoch 299 | time: 13.23s | valid loss  3.92 | valid ppl    50.30
| end of epoch 300 | time: 13.24s | valid loss  3.91 | valid ppl    50.02
| end of epoch 301 | time: 13.23s | valid loss  3.88 | valid ppl    48.31
| end of epoch 302 | time: 13.23s | valid loss  3.91 | valid ppl    49.96
| end of epoch 303 | time: 13.23s | valid loss  3.89 | valid ppl    48.89
| end of epoch 304 | time: 13.23s | valid loss  3.92 | valid ppl    50.24
| end of epoch 305 | time: 13.22s | valid loss  3.89 | valid ppl    49.09
| end of epoch 306 | time: 13.22s | valid loss  3.90 | valid ppl    49.41
| end of epoch 307 | time: 13.22s | valid loss  3.89 | valid ppl    48.99
| end of epoch 308 | time: 13.23s | valid loss  3.90 | valid ppl    49.64
| end of epoch 309 | time: 13.22s | valid loss  3.92 | valid ppl    50.16
| end of epoch 310 | time: 13.23s | valid loss  3.91 | valid ppl    49.74
| end of epoch 311 | time: 13.22s | valid loss  3.91 | valid ppl    49.67
| end of epoch 312 | time: 13.22s | valid loss  3.93 | valid ppl    50.96
| end of epoch 313 | time: 13.22s | valid loss  3.92 | valid ppl    50.20
| end of epoch 314 | time: 13.23s | valid loss  3.89 | valid ppl    49.15
| end of epoch 315 | time: 13.24s | valid loss  3.90 | valid ppl    49.56
| end of epoch 316 | time: 13.23s | valid loss  3.92 | valid ppl    50.46
| end of epoch 317 | time: 13.24s | valid loss  3.92 | valid ppl    50.38
| end of epoch 318 | time: 13.23s | valid loss  3.90 | valid ppl    49.30
| end of epoch 319 | time: 13.24s | valid loss  3.90 | valid ppl    49.38
| end of epoch 320 | time: 13.23s | valid loss  3.91 | valid ppl    50.02
| end of epoch 321 | time: 13.24s | valid loss  3.90 | valid ppl    49.64
| end of epoch 322 | time: 13.24s | valid loss  3.92 | valid ppl    50.17
| end of epoch 323 | time: 13.23s | valid loss  3.90 | valid ppl    49.25
| end of epoch 324 | time: 13.24s | valid loss  3.91 | valid ppl    50.08
| end of epoch 325 | time: 13.23s | valid loss  3.90 | valid ppl    49.16
| end of epoch 326 | time: 13.22s | valid loss  3.91 | valid ppl    50.07
| end of epoch 327 | time: 13.21s | valid loss  3.90 | valid ppl    49.42
| end of epoch 328 | time: 13.23s | valid loss  3.90 | valid ppl    49.25
| end of epoch 329 | time: 13.24s | valid loss  3.91 | valid ppl    49.78
| end of epoch 330 | time: 13.23s | valid loss  3.89 | valid ppl    49.00
| end of epoch 331 | time: 13.24s | valid loss  3.89 | valid ppl    48.96
| end of epoch 332 | time: 13.24s | valid loss  3.92 | valid ppl    50.44
| end of epoch 333 | time: 13.23s | valid loss  3.91 | valid ppl    49.76
| end of epoch 334 | time: 13.23s | valid loss  3.92 | valid ppl    50.20
| end of epoch 335 | time: 13.24s | valid loss  3.90 | valid ppl    49.64
| end of epoch 336 | time: 13.24s | valid loss  3.91 | valid ppl    49.94
| end of epoch 337 | time: 13.23s | valid loss  3.91 | valid ppl    50.08
| end of epoch 338 | time: 13.24s | valid loss  3.92 | valid ppl    50.62
| end of epoch 339 | time: 13.23s | valid loss  3.91 | valid ppl    49.96
| end of epoch 340 | time: 13.22s | valid loss  3.90 | valid ppl    49.46
| end of epoch 341 | time: 13.21s | valid loss  3.92 | valid ppl    50.31
| end of epoch 342 | time: 13.22s | valid loss  3.91 | valid ppl    49.85
| end of epoch 343 | time: 13.23s | valid loss  3.92 | valid ppl    50.61
| end of epoch 344 | time: 13.22s | valid loss  3.91 | valid ppl    49.72
| end of epoch 345 | time: 13.24s | valid loss  3.89 | valid ppl    48.88
| end of epoch 346 | time: 13.23s | valid loss  3.92 | valid ppl    50.51
| end of epoch 347 | time: 13.23s | valid loss  3.90 | valid ppl    49.49
| end of epoch 348 | time: 13.22s | valid loss  3.91 | valid ppl    49.87
| end of epoch 349 | time: 13.23s | valid loss  3.91 | valid ppl    49.74
| end of epoch 350 | time: 13.24s | valid loss  3.89 | valid ppl    49.13
| end of epoch 351 | time: 13.23s | valid loss  3.91 | valid ppl    49.78
| end of epoch 352 | time: 13.24s | valid loss  3.91 | valid ppl    49.85
| end of epoch 353 | time: 13.22s | valid loss  3.90 | valid ppl    49.49
| end of epoch 354 | time: 13.22s | valid loss  3.91 | valid ppl    49.80
| end of epoch 355 | time: 13.22s | valid loss  3.92 | valid ppl    50.43
| end of epoch 356 | time: 13.22s | valid loss  3.92 | valid ppl    50.15
| end of epoch 357 | time: 13.23s | valid loss  3.90 | valid ppl    49.51
| end of epoch 358 | time: 13.22s | valid loss  3.90 | valid ppl    49.60
| end of epoch 359 | time: 13.22s | valid loss  3.92 | valid ppl    50.41
| end of epoch 360 | time: 13.23s | valid loss  3.90 | valid ppl    49.51
| end of epoch 361 | time: 13.24s | valid loss  3.91 | valid ppl    49.78
| end of epoch 362 | time: 13.23s | valid loss  3.93 | valid ppl    50.89
| end of epoch 363 | time: 13.23s | valid loss  3.90 | valid ppl    49.55
| end of epoch 364 | time: 13.23s | valid loss  3.92 | valid ppl    50.64
| end of epoch 365 | time: 13.23s | valid loss  3.91 | valid ppl    49.90
| end of epoch 366 | time: 13.24s | valid loss  3.92 | valid ppl    50.21
| end of epoch 367 | time: 13.23s | valid loss  3.90 | valid ppl    49.42
| end of epoch 368 | time: 13.24s | valid loss  3.92 | valid ppl    50.53
